Topic # (Status),Title,Component Instructions,Open,Close,Release #
A254-049(Pre-Release),Affordable Ka-Band Metamaterial-Based Electronically Scanned Array Radar for Test and Training,ARMY,2025-12-03,2025-12-24,12
A254-P050(Pre-Release),Li-ion 6T Battery Focused Open Topic,ARMY,2025-12-03,2025-12-24,12
CBD254-005(Pre-Release),Complex Geometries for Extended Wear Respirators Towards Regenerable Particulate Matter Protection,CBD,2025-12-03,2025-12-24,12
CBD254-008(Pre-Release),Far Forward Manufacturing of CBRN Sensors,CBD,2025-12-03,2025-12-24,12
CBD254-010(Pre-Release),Shelf-Stable Nucleic Acid Synthesis Reagents for Field-Deployable Diagnostics,CBD,2025-12-03,2025-12-24,12
CBD254-011(Pre-Release),OPEN TOPIC - Expeditionary Biologics-on-Demand (BOND),CBD,2025-12-03,2025-12-24,12
CBD254-012(Pre-Release),Microphysiological systems to Assess Pretreatment Immunogenicity and Efficacy (MAGPIE),CBD,2025-12-03,2025-12-24,12
DMEA254-P001(Pre-Release),RF Frontend Design (RFE) on Gallium Nitride on Silicon (GaN-on-Si) Open Topic,DMEA,2025-12-03,2025-12-24,12
HR0011SB20254-12(Pre-Release),Assessing Security of Encrypted Messaging Applications (ASEMA),DARPA,2025-12-03,2025-12-24,12
HR0011SB20254-13(Pre-Release),Pulsed High-power Laser Accelerators to Study radiation Hardening (PHLASH),DARPA,2025-12-03,2025-12-24,12
HR0011SB20254-15(Pre-Release),Unbiased Behavioral Discovery Platforms,DARPA,2025-12-03,2025-12-24,12
HR0011SB20254XL-01(Pre-Release),ALIAS Missionized Autonomy for Emergency Services - SBIR XL,DARPA,2025-12-03,2025-12-24,12
SF254-D1201(Pre-Release),Integrated S&T Insight and Co-Investment Decision Support Platform,USAF,2025-12-03,2025-12-24,12
SF254-D1202(Pre-Release),Space-Based Interceptors for Boost-Phase Missile Defense in the Endo-Atmospheric Region,USAF,2025-12-03,2025-12-24,12
SF254-D1203(Pre-Release),Space-Based Interceptors for Hypersonic Glide Vehicle Threats,USAF,2025-12-03,2025-12-24,12
SF254-D1205(Pre-Release),Technology Maturation to Support Commercial De-Orbit as a Service for pLEO Constellations,USAF,2025-12-03,2025-12-24,12
SF254-D1206(Pre-Release),Knowledge-Guided Test and Evaluation Frameworks for proliferated Low Earth Orbit Constellations,USAF,2025-12-03,2025-12-24,12
SF254-D1207(Pre-Release),Affordable IR Sensors for Proliferated LEO Missile Tracking Constellation,USAF,2025-12-03,2025-12-24,12
SOCOM254-007(Pre-Release),Acoustic-based UAS Rainbow Oscillation Refraction Architecture (AURORA),SOCOM,2025-12-03,2025-12-24,12
SOCOM254-008(Pre-Release),Silencing with Acoustic Rainbow Emitters (SWARE),SOCOM,2025-12-03,2025-12-24,12
